scenario,title,overall_status,expected_A,actual_A,expected_archetype,actual_archetype,expected_B,actual_B,actual_tier,expected_decision,cta_expected,cta_shown,num_fail_fields,fail_fields,num_review_fields,review_fields
1,Prime ICP / Messy-Middle Opportunity,PASS_WITH_REVIEW,62,62,Builder,The Builder,81,81,,ACCEPT,True,True,0,,0,
2,AI-Mature Company / Healthy Workflow,PASS,100,100,Architect,Architect,24,24,,REJECT / NOT NOW,False,False,0,,6,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags;positioning_quadrant
3,Low-Readiness Spectator / High-Value Workflow,PASS,24,24,Spectator,Spectator,98,98,,ACCEPT,True,True,0,,6,demotion_gates;workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
4,G3 Demotion / Provisional Builder Forced to Spectator,PASS,55,55,Spectator,Spectator,100,100,,ACCEPT,True,True,0,,6,provisional_archetype;workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
5,G1 Demotion / Architect Score Without Measurable Results,PASS,91,91,Builder,Builder,68,68,,ACCEPT,True,True,0,,6,provisional_archetype;workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
6,G2 Demotion / Builder-Band Score With No Formal Strategy,PASS,78,78,Explorer,Explorer,68,68,,ACCEPT,True,True,0,,6,provisional_archetype;workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
7,HG1 / Unlikely to Act,PASS,54,54,Explorer,Explorer,81,81,,REJECT / NOT NOW,False,False,0,,5,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
8,HG2 / Individual Contributor,PASS,54,54,Explorer,Explorer,81,81,,REJECT / NOT NOW,False,False,0,,6,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags;positioning_quadrant
9,HG3 / Smooth Workflow Despite Strong Company,PASS,93,93,Architect,Architect,65,65,,REJECT / NOT NOW,False,False,0,,6,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags;positioning_quadrant
10,HG4 / Economically Trivial Solo Workflow,PASS,54,54,Explorer,Explorer,45,45,,REJECT / NOT NOW,False,False,0,,5,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
11,HG5 / Too Early — Category Must Be Sold First,PASS,11,11,Spectator,Spectator,100,100,,REJECT / NOT NOW,False,False,0,,7,demotion_gates;workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags;positioning_quadrant
12,Under-25 Company / Raised Threshold Converts HOLD to REJECT,PASS,38,38,Explorer,Explorer,50,50,,REJECT / NOT NOW,False,False,0,,5,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
13,Under-25 Exception / Economics Strong Enough to Clear Raised Bar,PASS,61,61,Builder,Builder,100,100,,ACCEPT,True,True,0,,5,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
14,Over-500 Exception / Severe Enterprise Workflow,PASS,61,61,Builder,Builder,100,100,,ACCEPT,True,True,0,,6,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags;positioning_quadrant
15,Other Workflow Category / Q7b Branch,PASS,54,54,Explorer,Explorer,78,78,,ACCEPT,True,True,0,,5,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
16,Q11b Multi-Select Maximum + 'None of These' Stray Selection,PASS,54,54,Explorer,Explorer,87,87,,ACCEPT,True,True,0,,6,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags;positioning_quadrant
17,Layer A Boundary / 54 Must Remain Explorer,PASS,54,54,Explorer,Explorer,61,61,,ACCEPT,True,True,0,,6,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags;positioning_quadrant
18,Layer A Boundary / 55 Must Become Builder,PASS,55,55,Builder,Builder,61,61,,ACCEPT,True,True,0,,6,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags;positioning_quadrant
19,Layer C Boundary / 44 Must Reject,PASS,26,26,Spectator,Spectator,45,45,,REJECT / NOT NOW,False,False,0,,5,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
20,Layer C Boundary / 45 Must HOLD + Show CTA,PASS,26,26,Spectator,Spectator,47,47,,HOLD / QUALIFY ON CALL,True,True,0,,5,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
21,Layer C Boundary / 64 Must Remain HOLD,PASS,69,69,Explorer,Explorer,69,69,,HOLD / QUALIFY ON CALL,True,True,0,,6,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;decision;soft_flags
22,Layer C Boundary / 65 Must Become ACCEPT,PASS,69,69,Explorer,Explorer,71,71,,ACCEPT,True,True,0,,5,workflow_opportunity_tier;cost_estimate_range;annual_hours;diagnostic_fit_score;soft_flags
